,name,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews,number of usb 2.0 ports,is discontinued by manufacturer,domestic shipping,international shipping,computer memory type,department,manufacturer,additional features,brand name,material care instructions,max screen resolution,connectivity technologies,processor count,measurement system,item package quantity,hard drive rotational speed,hard drive interface,expansion,warranty description,memory speed,line size,national stock number,model,optical drive type,color,voltage,screen resolution,ASIN,assembled width,card description,language,other display features,size,ram,plug profile,product dimensions,item weight,rating,hardware platform,average battery life (in hours),pricing,light direction,os,chipset brand,display type,operating system,finish types,color screen,weight,part number,style,bulb features,best sellers rank,batteries,number of lights,item model number,contains,switch style,special features,installation method,average life,certification,wireless type,processor brand,date first available,item display height,wattage,color name,assembled height,shape,display style,batteries included?,number of items,included components,switch installation type,batteries required?,display technology,series,head style,material type,is assembly required?,power source,color temperature,colour,cover included,compatible devices,type of bulb,shade color,rear webcam resolution,shade material,specific uses,release date,connector type,flash memory size,specification met,number of usb 3.0 ports,item dimensions  lxwxh,number of pieces,graphics card ram size,folding,standing screen display size,batteries required,material,package dimensions,manufacturer part number,binding,assembled length,graphics coprocessor,brand
1102,"Rybozen HDMI to VGA, Gold-Plated HDMI to VGA Adapter (Male to Female) Support Computer, Desktop, Laptop, PC, Monitor, Projector, HDTV, Chromebook, Raspberry Pi, Roku, Xbox and More",MeiYinShop,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2AZQZ308T39YS&isAmazonFulfilled=1,,,,,,,,,,Rybozen,,,,,,,,,,,,,,,,,,,,,B08N6GCSD5,,,,,,,,,1.41 ounces,0.0,,,,,,,,,,,,,,,"#324 in HDMI-to-VGA Adapters #30,420 in Computer Cables & Interconnects",,,,,,,,,,,,"November 11, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75 x 4.25 x 0.79 inches,,,,,
1103,"Computer Monitor Light, 3 Color Modes LED Lights with Brightness Adjustment Features，Screen Light Bar e-Reading LED Task Lamp, No Screen Glare, Space Saving, USB Clamp Lamp for Office Home（White）",XVX SHOP,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AZ1RQDED92VC&isAmazonFulfilled=1,,,https://www.amazon.com//Computer-Brightness-Adjustment-Features%EF%BC%8CScreen-Home%EF%BC%88White%EF%BC%89/product-reviews/B08FC36KD1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,RGB Ducky,,,,,,,,,,,,,,,,,,,,,B08FC36KD1,,,,,,,,,1.36 pounds,4.2,,,,,,,,,,,,HYD-WH,,,#216 in USB Reading Lamps,,,,,,,,,,,,"August 6, 2020",,,,,,,,,,,No,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,17.56 x 6.69 x 2.36 inches,,,,,RGB Ducky
1104,NEW 19 Touch Screen POS TFT LCD TouchScreen Monitor with Metal POS Stand,IBE SUPPLY,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A29SL49D2PTWZF&isAmazonFulfilled=1,Epson C31CA85084 TM-T88V Thermal Receipt Printer (USB/Serial/PS180 Power Supply),https://www.amazon.com/Epson-TM-T88V-Thermal-Receipt-Printer/dp/B003JVT1AW/ref=pd_bxgy_2/141-1617169-2738927?_encoding=UTF8&pd_rd_i=B003JVT1AW&pd_rd_r=236dc814-fb29-4fc2-bc59-0525010c3745&pd_rd_w=rkXPP&pd_rd_wg=f48zw&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=JCFY8K0PP4Y2DZVWC3TS&psc=1&refRID=JCFY8K0PP4Y2DZVWC3TS,https://www.amazon.com//Touch-Screen-POS-TouchScreen-Monitor/product-reviews/B00G3OBLLO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Angel POS,,,,,,,,,,,,,,,,,,,,,B00G3OBLLO,,,,,,,,16 x 6 x 15 inches,13 pounds,3.8,,,,,,,,,,,,,,,"#131,222 in Electronics ( See Top 100 in Electronics )",,,,,,,,,,,,"10M 22, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,NB North Bayou Monitor Wall Mount Bracket LED LCD Computer Monitor Mount Gas Strut Arm Fits 24- 35 Computer Monitors Within 6.6lbs to 26.5 lbs F425-S,NB North Bayou,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2V6O7OTRZHL3U&isAmazonFulfilled=1,,,https://www.amazon.com//NB-North-Bayou-Computer-Monitors/product-reviews/B08CZQ6PYJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,"KUNSHAN HONGJIE ELECTRONICS CO., LTD",,,,,,,,,,,,,,,,,,Sliver,,,B08CZQ6PYJ,,,,,,,,16.73 x 7.48 x 3.66 inches,5.06 pounds,4.3,,,,,,,,,,,,,,,"#75,696 in Office Products ( See Top 100 in Office Products ) #916 in Monitor Arms & Monitor Stands",,,,,,,,,,,,"July 15, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F425-s,,,,NB North Bayou
1106,"HDMI KVM Switch 2 Ports Share 2 Computers with One Monitor, with Hotkey Switch, USB Cable and Switch Cable, 3 Switch Modes,Support UHD Extended Display 4K@30Hz, Support Wireless Keyboard and Mouse",ANSUSA,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A356RKQZUPRST2&isAmazonFulfilled=1,,,https://www.amazon.com//Computers-Monitor-Extended-Wireless-Keyboard/product-reviews/B08R7GSHJW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,Yeemie,,,,,,,,,,,,,,,,,,,,,B08R7GSHJW,,,,,,,,,9.2 ounces,5.0,,,,,,,,,,,,,,,#661 in KVM Switches,,,,,,,,,,,,"January 14, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24 x 5.24 x 2.09 inches,,,,,
1107,"Huanuo Universal Vesa Mount Adapter -Vesa Extender, Monitor Mount Adapter kit Fits Most 13 to 32 inch, Convert Vesa Plate to Reach 200×100 and 200×200",liyu electronics,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A177XTH6CJABI8&isAmazonFulfilled=1,HUANUO Single Monitor Stand - Gas Spring Single Arm Monitor Desk Mount Fit 17 to 32 inch Screens…,https://www.amazon.com/HUANUO-Single-Monitor-Stand-Adjustable/dp/B08FB7WFCT/ref=pd_bxgy_2/132-9134264-4077332?_encoding=UTF8&pd_rd_i=B08FB7WFCT&pd_rd_r=8e15060e-575e-41ea-85f3-1e1a64ee8950&pd_rd_w=kzcxN&pd_rd_wg=KRX2s&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=FWN7WCSE5NG9C3GACCPT&psc=1&refRID=FWN7WCSE5NG9C3GACCPT,https://www.amazon.com//Universal-Adapter-Extender-Monitor-Convert/product-reviews/B08HMSST3D/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,HUANUO,,,,,,,,,,,,,,,,,,,,,B08HMSST3D,,,,,,,,,8.4 ounces,4.0,,,,,,,,,,,,,,,"#25,737 in Office Products ( See Top 100 in Office Products ) #395 in Monitor Arms & Monitor Stands",,,HNMUA5,,,,,,,,,"November 24, 2020",,,,,,,,,,,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,4.8 x 2.28 x 1.54 inches,HNMUA5-1,,,,HUANUO
1108,"19 Inch Pro Capacitive LED Backlit Multi-Touch HDMI Monitor, 4:3 Display 1280 x 1024, True Flat Seamless Design Touchscreen, Great for Office, POS, Retail, Restaurant, Bar, Gym, Warehouse",IBE SUPPLY,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A29SL49D2PTWZF&isAmazonFulfilled=1,,,,,No,,,,,ANGEL POS,,,,,,,,,,,,,,,,,,,,,B07VL85F6X,,,,,,,,,15 pounds,5.0,,,,,,,,,,,,,,,"#84,209 in Electronics ( See Top 100 in Electronics ) #2,129 in Computer Monitors",,,,,,,,,,,,"September 26, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 x 14 x 1.6 inches,,,,,
1109,StarTech.com USB 3.0 to DVI Adapter with 1 Port USB Hub - 1920x1200 - External Video & Graphics Card - Dual Monitor Display Adapter - Supports Windows (USB32DVIEH),,,"ASUS VB199T-P 19"" SXGA 1280x1024 IPS DVI VGA Back-lit LED Monitor,Black",/ASUS-VB199T-P-1280x1024-Back-lit-Monitor/dp/B00NTR1K32/ref=pd_bxgy_2/145-9105063-0865900?_encoding=UTF8&pd_rd_i=B00NTR1K32&pd_rd_r=454fb7be-9e9f-4c9e-8fa6-0a4ae66d4da6&pd_rd_w=tFmlO&pd_rd_wg=BU2R4&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=8Z2J39X917R00TE4QMPF&psc=1&refRID=8Z2J39X917R00TE4QMPF,https://www.amazon.com//StarTech-com-External-Video-Card-Adapter/product-reviews/B00BUC3M2K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S. Learn More,,,STARTECH.COM,,,,,,,,,,,,,,,,,,,,,B00BUC3M2K,,,English,,,,,5.67 x 8.15 x 1.5 inches,8.2 ounces,4.4,,,,,,,,,,,,,,,"#416 in USB-to-VGA Adapters #30,373 in Computer Cables & Interconnects",,,USB32DVIEH,,,,,,,,,"March 14, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,"IDEALCRAFT Portable Laptop Stand, Fully Foldable Adjustable Tablet Phone Stands Holder, 3-in-1 Compatible with MacBook iPad and iPhone, FTS-150 Silver",IDEALCRAFT US Store,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AKIL4IJD782G6&isAmazonFulfilled=1,,,https://www.amazon.com//IDEALCRAFT-Portable-Adjustable-Compatible-FTS-150/product-reviews/B088H9VW24/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,IDEALCRAFT,,,,,,,,,,,,,,,,,,,,,B088H9VW24,,,,,,,,5.6 x 1.2 x 0.3 inches,3.2 ounces,4.3,,,,,,,,,,,,,,,#963 in Tablet Stands,,,FTS-150,,,,,,,,,"May 27, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Portable Monitor 15.6 Ippinkan USB C Gaming Monitor 1080P FHD IPS Eye Care Screen 178° Wide Angle 72% NTSC Dual Speakers Portable Computer Monitor with Type-C Mini HDMI for Laptop PC Phone Xbox PS4,RongLi-US,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AUEFNEETELBRS&isAmazonFulfilled=1,,,https://www.amazon.com//Portable-Monitor-Ippinkan-Speakers-Computer/product-reviews/B08DFKYJJX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Ippinkan,,,,,,,,,,,,,,,,,,,,,B08DFKYJJX,,,,,,,,,1.78 pounds,3.9,,,,,,,,,,,,,,,"#368,303 in Electronics ( See Top 100 in Electronics ) #7,099 in Computer Monitors",,,,,,,,,,,,"July 22, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.65 x 10.75 x 2.99 inches,,,,,
1112,Anmite Desktop USB TPYE-C LCD Monitor - 24 2K QHD 2560 x 1440 IPS 75Hz Professional Gaming Monitor,Anmite Official Store,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A12JOWARBHS0D3&isAmazonFulfilled=1,,,,,No,,,,,Anmite,,,,,,,,,,,,,,,,,,,,,B08LVYJVXL,,,,,,,,,9.08 pounds,0.0,,,,,,,,,,,,,,,"#363,698 in Electronics ( See Top 100 in Electronics ) #7,021 in Computer Monitors",,,AN-238W03K-1T,,,,,,,,,"September 21, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4 x 17.7 x 4.9 inches,,,,,
1113,VSDISPLAY 8 inch EJ080NA-05A LCD Screen 8 800x600 Display Monitor Work with HD-MI LCD Controller Driver Board,"Shenzhen Weisi Electronics Co., Ltd",https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1D3XK588INFI6&isAmazonFulfilled=1,,,https://www.amazon.com//VSDISPLAY-EJ080NA-05A-800x600-Display-Controller/product-reviews/B07SBYR523/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,VSDISPLAY,,,,,,,,,,,,,,,,,,,,,B07SBYR523,,,,,,,,,1.05 pounds,5.0,,,,,,,,,,,,,,,"#172,626 in Electronics ( See Top 100 in Electronics ) #3,931 in Computer Monitors",,,,,,,,,,,,"May 28, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7 x 7.4 x 1.8 inches,,,,,
1114,"U HOME Computer Glass Monitor Stand Riser, Tempered Glass,22 x 9.45 Glass Rectangle Ergonomic Desktop Stand for Computer Monitors, Laptops, Keyboards, Notebook, White",U HOME,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3UNHDRWI91YMC&isAmazonFulfilled=1,,,https://www.amazon.com//HOME-Computer-Rectangle-Ergonomic-Keyboards/product-reviews/B0833Z1NSZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,U HOME,,,,,,,,,,,,,,,,,,,,,B0833Z1NSZ,,,,,,,,,3.59 pounds,4.7,,,,,,,,,,,,,,,"#161,039 in Office Products ( See Top 100 in Office Products ) #1,570 in Monitor Arms & Monitor Stands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,22.25 x 9.75 x 2.5 inches,,,,,
1115,HP Ultra Slim Dock 2013 Docking Station (D9Y32AA#ABA),Amazin dealz,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2JPL7I8NYPD0W&isAmazonFulfilled=1,,,https://www.amazon.com//D9Y32AA-UltraSlim-Docking-Station-D9Y32/product-reviews/B00FYJHJMY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,Unknown,,hp,,,,,,8.0,,,,,,,,,,,,Black,,,B00FYJHJMY,,,,,,,,14.49 x 1.73 x 4.21 inches,1.67 pounds,4.4,,,,,,,,,,,,,,,"#1,509 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #93 in Laptop Docking Stations",,,D9Y32AA#ABA,,,,,,,802.11a,,"October 25, 2013",,,,,,,,,,,,,Docking Station,,,,,,,,,,,,,,,,,,,14.49 x 1.73 x 4.21 inches,,,,,,,,,,,,HP
1116,"Audioengine A2+ Plus Wireless Speaker Bluetooth | Desktop Monitor Speakers | Home Music System aptX Bluetooth, 60W Powered Bookshelf Stereo Speakers | AUX Audio, USB, RCA Inputs,16-bit DAC (White)",Audio Advice Online,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A17IVE6SUAZA2P&isAmazonFulfilled=1,,,https://www.amazon.com//Audioengine-A2-Wireless-Bluetooth-Amplifier/product-reviews/B07MYW4Q8S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Audioengine,,,,,,,,,,,,,,,,,,,,,B07MYW4Q8S,,,,,,,,5.25 x 4 x 6 inches,6.6 pounds,4.6,,,,,,,,,,,,,,,#66 in Computer Speakers,2 Lithium Polymer batteries required. (included),,A2+BT-WHT,,,,,,,,,"January 31, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,"Keast Wood Monitor Stand Riser with Storage Organizer Drawers, 18.9 Inch 2 Tiers Desktop PC Monitor Shelf for Home & Office",zhengdong direct,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2RZXLACWD8S2E&isAmazonFulfilled=1,,,,,,,,,,Zhengdong direct,,,,,,,,,,,,,,,,,,,,,B08NFSBTJK,,,,,,,,,3.19 pounds,0.0,,,,,,,,,,,,,,,"#237,935 in Office Products ( See Top 100 in Office Products ) #2,154 in Monitor Arms & Monitor Stands",,,,,,,,,,,,"November 14, 2020",,,,,,,,,,,,,,,"Wood, Plastic",,,,,,,,,,,,,,,,,,,,,,,,19.09 x 8.46 x 1.3 inches,MSR001W,,,,Keast
1118,Seneca SD13 Triple Arm Desktop Monitor Mount for 13-27 Screens | Supports up to 17.6 lb (8 kg) | 90° of Tilt | 180° of Swivel | VESA 75x75 and 100x100 | Solid Steel Construction,Kanto Living,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1JHXNTHRB2151&isAmazonFulfilled=1,,,https://www.amazon.com//Seneca-Desktop-Monitor-Screens-SD13/product-reviews/B01HZAGWN6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Seneca AV,,,,,,,,,,,,,,,,,,Black,,,B01HZAGWN6,,,,,SD13,,,19.02 x 64.25 x 21.65 inches,18.7 pounds,4.0,,,,,,,,,,,,,,,"#210,318 in Office Products ( See Top 100 in Office Products ) #1,934 in Monitor Arms & Monitor Stands",,,MX-SD13,,,,,,,,,"July 4, 2016",,,,,,,,1.0,,,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,MX-SD13,,,,Seneca
1119,Tripp Lite Single-Display Monitor Stand Height Adjustable 17-27in Monitors (DDV1727S),,,,,https://www.amazon.com//Tripp-Lite-Single-Display-Adjustable-Monitors/product-reviews/B082QQGM1Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,,,Tripp Lite,,,,,,,,,,,,,,,,,,,B082QQGM1Q,,,,,,,,7.9 x 12.6 x 21.3 inches,5.49 pounds,4.2,,,,,,,,,,,,,,,"#152,714 in Office Products ( See Top 100 in Office Products ) #1,510 in Monitor Arms & Monitor Stands",,,DDV1727S,,,,,,,,,"December 13, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,"Microsoft Surface Dock Compatible with Surface Book, Surface Pro 4, and Surface Pro 3 (Renewed)",Gadget Group Inc,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A31XBUKBHZ5ATG&isAmazonFulfilled=1,"Mini DisplayPort to HDMI Adapter 2 Pack, Benfei Mini DP(Thunderbolt) to HDMI Converter Gold-Plated…",https://www.amazon.com/DisplayPort-Thunderbolt-Converter-Gold-Plated-Compatible/dp/B07CMZLP7Z/ref=pd_bxgy_2/145-0002401-5899518?_encoding=UTF8&pd_rd_i=B07CMZLP7Z&pd_rd_r=bc42d072-4a48-40a4-a8ad-15d2560bd045&pd_rd_w=dJ04f&pd_rd_wg=LGyL5&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=903VFXFHH7P2CF8XJ10Z&psc=1&refRID=903VFXFHH7P2CF8XJ10Z,https://www.amazon.com//Microsoft-Surface-Compatible-Certified-Refurbished/product-reviews/B01COAT0N6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Microsoft,,,,,,,,,,,,,,,,,,Black,,,B01COAT0N6,,,,,,,,5.1 x 2.4 x 1.2 inches,2.18 pounds,4.2,,,,,,,,,,,,,,,"#4,628 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #256 in Laptop Docking Stations",1 Lithium ion batteries required.,,PD9-00003-RFB,,,,,,,,,"March 8, 2016",,,,,,,,,,,,,,,,,AC,,,,,,,,,,,,,,,5.1 x 2.4 x 1.2 inches,,,,0.01 Centimeters,,,,,,,,Microsoft
1121,"Halter Monitor Stand Riser and Computer Desk Organizer with Storage Drawer & Cable Management for Printer, Laptop, Desk Shelf and Keyboard Holder, Black",,,,,https://www.amazon.com//Monitor-Computer-Organizer-Storage-Management/product-reviews/B0796WQYWL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Halter,,,,,,,,,,,,,,,,,,,,,B0796WQYWL,,,,,,,,,5.14 pounds,4.1,,,,,,,,,,,,,,,"#166,971 in Office Products ( See Top 100 in Office Products ) #1,606 in Monitor Arms & Monitor Stands",,,LZ-312,,,,,,,,,"January 22, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5 x 12 x 3 inches,,,,,
1122,"Dell WD19 130W Docking Station (with 90W Power Delivery) USB-C, HDMI, Dual DisplayPort, black",Abe's Electronics Center,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3DI1PQ3I3V3R1&isAmazonFulfilled=1,,,https://www.amazon.com//Dell-WD19-130W-Delivery-DisplayPort/product-reviews/B07SFYV111/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Dell Computers,,,,,,,,,,,,,,,,,,,,,B07SFYV111,,,,,,,,3.5 x 1.1 x 8.1 inches,1 pounds,4.6,,,,,,,,,,,,,,,"#1,067 in Electronics ( See Top 100 in Electronics ) #14 in Laptop Docking Stations",,,WD19 130W,,,,,,,,,"May 29, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,"Monitor Stand with USB Expansion,Monitor Riser with Holding Slots,Drawer Keyboard and Phone Stand Holder,Laptop Stand,Computer Stand with Cable Management for Computer,Desktop(21 x 9 x 3)",SeeWK,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1EHC9O5LIJMLV&isAmazonFulfilled=1,RRLOM 500Pcs Merry Christmas Stickers 2020 Christmas Quarantine Survivor Label Stickers…,https://www.amazon.com/RRLOM-Christmas-Quarantine-RoundAdhesive-Decorative/dp/B08KJ9R5D6/ref=pd_bxgy_2/139-2912858-2379457?_encoding=UTF8&pd_rd_i=B08KJ9R5D6&pd_rd_r=c22f2e48-c6a6-46f1-b1b6-79edda042847&pd_rd_w=ipwvm&pd_rd_wg=Tiaqc&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=04VAEGSTME1F2N47D013&psc=1&refRID=04VAEGSTME1F2N47D013,https://www.amazon.com//Monitor-Expansion-Keyboard-Computer-Management/product-reviews/B08HML9ZSD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,Atsani,,,,,,,,,,,,,,,,,,Black,,,B08HML9ZSD,,,,,,,,,2.35 pounds,4.4,,,,,,,,,,,,,,,"#101,390 in Office Products ( See Top 100 in Office Products ) #1,118 in Monitor Arms & Monitor Stands",,,,,,,,,,,,"September 9, 2020",,,,,,,,,,,,,,,Plastic,,,,,,,,,,,,,,,,,,,,,,,,24 x 14.1 x 1.1 inches,SW-Monitor Stand-Black,,,,Atsani
1124,"Tripp Lite 6 Outlet Under-Monitor Isobar Surge Protector Power Strip, 2 USB, 8ft Cord, Tel/Modem/Fax Protection, RJ11, & $100,000 Insurance (MT-6PLUS)",,,Cables Unlimited 2 Outlet Xtender Power Cord Splitter,/Cables-Unlimited-PWR-PSLIB-2-22-Inch-Splitter/dp/B000234UFG/ref=pd_bxgy_2/137-9886323-7758651?_encoding=UTF8&pd_rd_i=B000234UFG&pd_rd_r=621b2731-5eb1-4a8d-ad0d-2f2072fbfedf&pd_rd_w=GjXEG&pd_rd_wg=wDJ2G&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=4THKN3YBZ4PJD41X067R&psc=1&refRID=4THKN3YBZ4PJD41X067R,https://www.amazon.com//Tripp-Lite-Under-Monitor-Protection-MT-6PLUS/product-reviews/B0000512E1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,Yes,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S. Learn More,,,Tripp Lite,,,,,,,,,,,,,,,,,,,,,B0000512E1,,,,,,,,12.52 x 13.5 x 2.01 inches,1.05 pounds,4.6,,,,,,,,,,,,,,,"#22,676 in Electronics ( See Top 100 in Electronics ) #1,041 in Power Strips",,,MT-6PLUS,,,,,,,,,"February 17, 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Asus ROG Swift PG27UQ 27 Gaming Monitor 4K UHD 144Hz DP HDMI G-SYNC HDR Aura Sync with Eye Care,Tri-State Gifts,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2VTC4LIOS3K16&isAmazonFulfilled=1,,,https://www.amazon.com//Swift-PG27UQ-G-SYNC-Gaming-Monitor/product-reviews/B07F1VGGLK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,ASUS Computer International Direct,,,,3840x2160 Pixels,,,,,,,,,,,,,,,100240 volts,,B07F1VGGLK,,,,,,,,25 x 3.7 x 15 inches,20.3 pounds,4.4,,,,,,,,,,,,,,,"#24,510 in Electronics ( See Top 100 in Electronics ) #839 in Computer Monitors",,,PG27UQ,,,,,,,,,"June 25, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 x 3.7 x 15 inches,,,,27 Inches,,,,,,,,ASUS
1126,Lenovo 60DFAAR1US 19.5 Screen LED-Lit Monitor,Official Computer Sales,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1963K1S39HK32&isAmazonFulfilled=1,"HDMI to VGA, Benfei Gold-Plated HDMI to VGA 6 Feet Cable (Male to Male) Compatible for Computer…",https://www.amazon.com/Gold-Plated-Compatible-Projector-Chromebook-Raspberry/dp/B07CTK4TH4/ref=pd_bxgy_2/134-3313192-9046848?_encoding=UTF8&pd_rd_i=B07CTK4TH4&pd_rd_r=b0f180cf-4081-40ca-a7b9-e0ecbaf825ab&pd_rd_w=OUsJS&pd_rd_wg=VjYJi&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=BQ2QYDDJKAP25Y0XHGVX&psc=1&refRID=BQ2QYDDJKAP25Y0XHGVX,https://www.amazon.com//Lenovo-60DFAAR1US-Screen-LED-Lit-Monitor/product-reviews/B01B5EFJ1Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,No,,,,,Lenovo,,,,1440x900 Pixels,,,,,,,,,,,,,,Black,,,B01B5EFJ1Y,,,,,,,,7.4 x 18 x 14.7 inches,8.1 pounds,4.3,,,,,,,,,,,,,,,"#50,242 in Electronics ( See Top 100 in Electronics ) #1,428 in Computer Monitors",1 Lithium Polymer batteries required.,,60DFAAR1US,,,,,,,,,"March 3, 2016",,,,,,,,,,,,,LEN-60DFAAR1US,,,,,,,,,,,,,,,,,,,7.4 x 18 x 14.7 inches,,,,19.5 Inches,,,,,,,,Lenovo
